PDD Table for NSH Trilogy #706, 18 MV Photons, Wedge = NONE, SSD = 100.0, Normalization Depth = 3.3
Northside Hospital Cancer Center

Field Size Increases to the Right->
Depth,5.00,6.00,7.00,8.00,9.00,10.00,12.00,14.00,16.00,18.00,20.00,22.00,24.00,26.00,28.00,30.00
0.50,0.435,0.453,0.471,0.487,0.504,0.520,0.557,0.587,0.614,0.637,0.660,0.680,0.700,0.716,0.727,0.737
1.00,0.707,0.716,0.725,0.738,0.751,0.764,0.793,0.815,0.835,0.852,0.870,0.880,0.891,0.899,0.906,0.912
1.50,0.841,0.850,0.859,0.868,0.877,0.886,0.910,0.924,0.937,0.947,0.958,0.965,0.972,0.977,0.980,0.983
2.00,0.926,0.930,0.934,0.940,0.947,0.953,0.968,0.978,0.985,0.990,0.995,0.999,1.003,1.006,1.008,1.009
3.00,0.995,0.995,0.995,0.996,0.996,0.997,1.002,1.004,1.005,1.005,1.005,1.007,1.008,1.008,1.007,1.006
4.00,0.996,0.994,0.992,0.990,0.989,0.987,0.992,0.989,0.986,0.984,0.981,0.981,0.981,0.980,0.979,0.978
5.00,0.976,0.973,0.970,0.968,0.966,0.964,0.963,0.958,0.954,0.952,0.950,0.950,0.950,0.949,0.947,0.945
6.00,0.945,0.942,0.940,0.937,0.935,0.932,0.928,0.925,0.922,0.919,0.916,0.916,0.916,0.915,0.914,0.913
7.00,0.908,0.905,0.902,0.900,0.897,0.894,0.896,0.891,0.888,0.886,0.883,0.884,0.884,0.884,0.883,0.883
8.00,0.868,0.867,0.866,0.865,0.864,0.862,0.861,0.857,0.855,0.853,0.851,0.852,0.853,0.853,0.852,0.851
9.00,0.833,0.833,0.833,0.831,0.829,0.827,0.830,0.827,0.824,0.822,0.819,0.820,0.822,0.822,0.822,0.821
10.00,0.800,0.799,0.797,0.796,0.795,0.795,0.798,0.795,0.793,0.792,0.792,0.792,0.793,0.793,0.793,0.793
12.00,0.730,0.733,0.735,0.735,0.735,0.735,0.737,0.736,0.735,0.734,0.733,0.734,0.736,0.737,0.737,0.738
14.00,0.669,0.671,0.673,0.674,0.675,0.676,0.678,0.679,0.679,0.680,0.680,0.682,0.683,0.685,0.686,0.686
16.00,0.616,0.617,0.619,0.621,0.622,0.624,0.628,0.628,0.628,0.629,0.631,0.632,0.634,0.635,0.635,0.635
18.00,0.564,0.566,0.567,0.571,0.574,0.577,0.580,0.580,0.581,0.582,0.584,0.586,0.589,0.590,0.590,0.591
20.00,0.517,0.520,0.522,0.525,0.527,0.529,0.534,0.536,0.537,0.539,0.541,0.543,0.545,0.547,0.548,0.550
22.00,0.477,0.479,0.481,0.483,0.486,0.488,0.494,0.496,0.497,0.500,0.502,0.504,0.506,0.508,0.509,0.510
24.00,0.435,0.438,0.442,0.445,0.447,0.450,0.455,0.457,0.460,0.462,0.463,0.466,0.469,0.471,0.472,0.473
26.00,0.401,0.404,0.407,0.410,0.412,0.415,0.419,0.423,0.426,0.428,0.430,0.433,0.435,0.437,0.439,0.440
28.00,0.370,0.373,0.376,0.378,0.380,0.382,0.387,0.392,0.395,0.397,0.400,0.401,0.403,0.404,0.406,0.407
30.00,0.339,0.342,0.345,0.348,0.351,0.353,0.359,0.362,0.365,0.367,0.369,0.371,0.374,0.376,0.378,0.380

RadCalc v6.3  Build 2.2
01/09/2018  11:24:38 AM
